Tissue,Spearman,Pearson
Ovary,0.555723521787266,0.46442235
Cervix_Endocervix,0.5554756530981175,0.50964886
skin of body,0.5554195984800125,0.49320436
Colon_Transverse,0.5528394524092798,0.37470463
neural progenitor cell,0.5512368024279373,0.5345507
Breast_Mammary_Tissue,0.5503759398496241,0.4806102
smooth muscle cell of trachea,0.5496464193697104,0.50304055
Kidney_Cortex,0.5494378742600944,0.48224908
tongue,0.5470675625906721,0.51919156
SK-MEL-5,0.5439045892153088,0.50722253
Uterus,0.5436753153528537,0.46203405
Skin_Not_Sun_Exposed_Suprapubic,0.5398496240601504,0.4633025
Karpas-422,0.5394205391038424,0.60997874
hESC_Derived_CD184+_Endoderm_Cultured_Cells,0.5376081811049543,0.51661354
spinal cord,0.5375529540533828,0.49003682
bipolar spindle neuron,0.5344550539430485,0.53678995
Daoy,0.5337950911352964,0.56491536
metanephros,0.5316129600804995,0.4902516
mammary epithelial cell,0.5296428379561632,0.52260137
cerebellum,0.5281487996192368,0.5542711
dermis blood vessel endothelial cell,0.5278087508855599,0.5280892
hESC_Derived_CD56+_Ectoderm_Cultured_Cells,0.5251239840174664,0.4875035
Mobilized_CD34_Primary_Cells_Female,0.5237805897791832,0.49871254
Penis_Foreskin_Fibroblast_Primary_Cells_skin02,0.5234191088763779,0.500484
skeletal muscle myoblast,0.5221852177711018,0.5194193
Cervix_Ectocervix,0.5212270785857834,0.46186605
hair follicle dermal papilla cell,0.5197751321506199,0.5188769
fibroblast of villous mesenchyme,0.518689418133519,0.50084823
SJCRH30,0.5159736334026395,0.56528664
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,0.5151249925582272,0.5534972
vein endothelial cell,0.5149549609096559,0.5249229
melanocyte of skin,0.5142486352360396,0.5149097
Neurosphere_Cultured_Cells_Cortex_Derived,0.5135694621717659,0.47878176
camera-type eye,0.5123831638097073,0.50227803
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03,0.5117415134156799,0.61445314
fibroblast of lung,0.5076534730668485,0.5508325
HT1080,0.5074872249585172,0.5583129
smooth muscle cell of bladder,0.5045748624387606,0.5263827
mesangial cell,0.5026361636968533,0.5194652
Adipose_Subcutaneous,0.5022556390977443,0.461186
Fetal_Intestine_Large,0.49833001225568985,0.40962917
dermis lymphatic vessel endothelial cell,0.497494562511176,0.5009717
Skin_Sun_Exposed_Lower_leg,0.49624060150375937,0.5548842
subcutaneous preadipocyte,0.49568399657459034,0.44196385
Pancreatic_Islets,0.4917211270459411,0.52134526
Penis_Foreskin_Melanocyte_Primary_Cells_skin03,0.4895538655300073,0.46743375
skeletal muscle tissue,0.4887347100954131,0.49316588
Testis,0.4872180451127819,0.49256065
Lung.1,0.4839828971831138,0.44214377
Penis_Foreskin_Melanocyte_Primary_Cells_skin01,0.48250967108423576,0.5026382
urinary bladder,0.4793735362575603,0.50388527
HMEC,0.47882303532864834,0.50221604
cardiac atrium fibroblast,0.47817283790364423,0.54942554
Thyroid,0.46917293233082696,0.4641383
SJSA1,0.46534373375795884,0.47516218
heart,0.4650862563811189,0.47594905
lung microvascular endothelial cell,0.4625396907530346,0.5172211
Esophagus_Mucosa,0.4608438961162694,0.41295454
stomach,0.45878000205730707,0.4937944
hepatocyte,0.45676464881992646,0.46004856
Psoas_Muscle,0.4565059292536763,0.49305636
epithelial cell of proximal tubule,0.4542199791661351,0.46527055
thyroid gland,0.45306243893362574,0.4251619
Left_Ventricle,0.4524737477334953,0.45712653
Right_Ventricle,0.4508971841525424,0.4480687
Small_Intestine_Terminal_Ileum,0.45030171548615866,0.39378506
H1_BMP4_Derived_Mesendoderm_Cultured_Cells,0.45001291377900476,0.50693095
Spleen,0.44679563401370315,0.47195846
GM12878,0.44616749340968354,0.5269357
NHEK,0.4454568806426136,0.49380758
Muscle_Skeletal,0.44360902255639095,0.48752844
H1_Cell_Line,0.44270602006201193,0.51148033
HUES64_Cell_Line,0.4382846755049188,0.4686702
Esophagus,0.4373443831388071,0.45422047
myometrial cell,0.4328156216762009,0.4954956
Caki2,0.4328156216762009,0.4913358
Adult_Liver,0.42899524044579757,0.48072153
fibroblast of the aortic adventitia,0.424320422206118,0.44575113
CD8_Naive_Primary_Cells,0.4240956032763423,0.33730555
hair follicular keratinocyte,0.42270267448930127,0.44979638
Adipose_Visceral_Omentum,0.42196317387973603,0.33650059
astrocyte,0.41994514915522996,0.42689788
Pancreas.1,0.417147306830443,0.40841645
uterus,0.4163704962031982,0.43904114
Sigmoid_Colon,0.4124864430669744,0.4109434
osteoblast,0.41069421880971074,0.36458957
thoracic aorta endothelial cell,0.4106066311503053,0.39714742
Universal_Human_Reference,0.4083299674668128,0.4780732
Gastric,0.4083299674668128,0.48370078
Small_Intestine,0.4078255793035057,0.42577308
Heart_Left_Ventricle,0.4061677609537566,0.36011028
MG63,0.4060170426015656,0.4482767
HT-29,0.4058293458222811,0.40722808
Right_Atrium,0.40408730780685376,0.40288875
Liver,0.4031591108726177,0.3753765
Bladder,0.403083450280214,0.36243495
Pancreas,0.4030217374380363,0.4840074
Lung,0.4030075187969925,0.43240005
skeletal muscle satellite cell,0.4026403227989612,0.4311415
SK-N-DZ,0.40044714956204813,0.45466512
umbilical cord,0.3994779468813003,0.3891464
NCI-H460,0.3983437906129337,0.46862686
MCF-7,0.3929207109628653,0.4033852
epithelial cell of alveolus of lung,0.39043387051808537,0.45360923
endothelial cell of coronary artery,0.3901135470052285,0.3813623
lung,0.3899589348768759,0.4314028
H7-hESC,0.38819042599821973,0.4843901
HEPG2,0.3878288658963919,0.40910155
G401,0.3874774516151928,0.41143543
Whole_Blood,0.3843550478654993,0.28993666
Peripheral_Blood_Mononuclear_Primary_Cells,0.3815283865906128,0.4201853
bladder microvascular endothelial cell,0.37710054916995067,0.34728965
Cells_EBV-transformed_lymphocytes,0.37532909762208244,0.31616706
GM12878.1,0.3705386691957566,0.43063587
HepG2,0.3675968293688282,0.41062504
hematopoietic multipotent progenitor cell,0.35267586246386723,0.25519517
CD4_Naive_Primary_Cells,0.3454456056024212,0.29110909
glomerular endothelial cell,0.3440241828020791,0.35657942
Oci-Ly-7,0.3434875181737471,0.40423754
RPMI-7951,0.3428509011425434,0.38920373
A172,0.33860769692048215,0.37416378
Spleen.1,0.33831578813689034,0.358317
CD4_Memory_Primary_Cells,0.3382153487409752,0.31066036
induced pluripotent stem cell,0.3373846063239303,0.44625124
HUVEC,0.33414789047283283,0.34047014
human nasal epithelial cells,0.33347511397459983,0.34366763
H1_BMP4_Derived_Trophoblast_Cultured_Cells,0.33187398663984946,0.38397083
LHCN-M2,0.3308557930297507,0.3515055
A549,0.32054138752410716,0.32642707
epithelial cell of umbilical artery,0.3165430349657641,0.3472312
endothelial cell of umbilical vein,0.3122076276766984,0.33222014
4star,0.30478899832152284,0.33548626
Aorta,0.29965397881326306,0.26966494
Breast_vHMEC,0.29020764419668227,0.28253955
H1_Derived_Mesenchymal_Stem_Cells,0.28753533860281566,0.2597673
bronchial epithelial cell,0.27522265223932396,0.30380434
Fetal_Intestine_Small,0.26733015264694215,0.21811637
liver,0.24566940384841365,0.24729517
pulmonary artery endothelial cell,0.23867706462345198,0.20206615
dermis microvascular lymphatic vessel endothelial cell,0.2385823682412429,0.2503087
tracheal epithelial cell,0.23458166706024883,0.18284702
Thymus,0.2335220713543334,0.19615373
airway epithelial cell,0.22938180416041976,0.23670843
PC-3,0.21530098209639278,0.19473016
mammary microvascular endothelial cell,0.20997257457761498,0.22523963
K562.1,0.19923374462651272,0.25268698
H4,0.17593625029518664,0.25344217
M059J,0.1605672629122938,0.1416246
HELA,0.13716103154290624,0.20453715
K562,0.11666570499051797,0.23183408
renal cortical epithelial cell,0.09881351043976236,0.15661998
endometrial microvascular endothelial cell,0.07045044574821688,0.08287094
