Tissue,Spearman,Pearson
SK-MEL-5,0.7999999999999999,0.78573424
Kidney_Cortex,0.7999999999999999,0.6526285
Brain_Hypothalamus,0.7999999999999999,0.95157623
epithelial cell of alveolus of lung,0.7999999999999999,0.68293715
Colon_Transverse,0.7999999999999999,0.90334034
umbilical cord,0.7999999999999999,0.6098701
Brain_Cerebellum,0.7999999999999999,0.95952475
Brain_Cerebellar_Hemisphere,0.7999999999999999,0.94650006
Brain_Caudate_basal_ganglia,0.7999999999999999,0.9168593
Brain_Anterior_cingulate_cortex_BA24,0.7999999999999999,0.9882909
Lung,0.7999999999999999,0.9264173
Brain_Amygdala,0.7999999999999999,0.9708158
Muscle_Skeletal,0.7999999999999999,0.947126
Artery_Tibial,0.7999999999999999,0.7392534
Nerve_Tibial,0.7999999999999999,0.84920406
Liver,0.7999999999999999,0.84182346
CD4_Memory_Primary_Cells,0.7745966692414834,0.6470067
uterine smooth muscle cell,0.7745966692414834,0.64780957
cardiac atrium fibroblast,0.7745966692414834,0.6495102
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,0.7745966692414834,0.6466771
Penis_Foreskin_Fibroblast_Primary_Cells_skin02,0.7745966692414834,0.64722824
RPMI-7951,0.7745966692414834,0.6484054
smooth muscle cell of the umbilical artery,0.7745966692414834,0.6472844
fibroblast of arm,0.7745966692414834,0.651214
fibroblast of the aortic adventitia,0.7745966692414834,0.6476852
NHEK,0.7745966692414834,0.6466688
subcutaneous preadipocyte,0.7745966692414834,0.64833534
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03,0.7378647873726218,0.99252737
Brain_Hippocampus_Middle,0.7378647873726218,0.9902077
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived,0.7378647873726218,0.9687643
Pancreatic_Islets,0.7378647873726218,0.9908947
Gastric,0.7378647873726218,0.9939857
Neurosphere_Cultured_Cells_Cortex_Derived,0.7378647873726218,0.93106884
Mobilized_CD34_Primary_Cells_Female,0.7378647873726218,0.9847391
Lung.1,0.7378647873726218,0.992409
Right_Atrium,0.7378647873726218,0.99193716
GM12878.1,0.7378647873726218,0.96054864
fibroblast of villous mesenchyme,0.7378647873726218,0.98517245
cerebellum,0.7378647873726218,0.99251854
A375,0.7378647873726218,0.9696651
dermis blood vessel endothelial cell,0.7378647873726218,0.9652624
SK-N-DZ,0.7378647873726218,0.97126544
parietal lobe,0.7378647873726218,0.9939826
Daoy,0.7378647873726218,0.98642486
smooth muscle cell,0.7378647873726218,0.9937406
neural cell,0.7378647873726218,0.99271965
mammary epithelial cell,0.7378647873726218,0.9812578
pericyte cell,0.7378647873726218,0.9730543
GM12878,0.7378647873726218,0.9819778
Universal_Human_Reference,0.7378647873726218,0.9834547
H1_Cell_Line,0.7378647873726218,0.992105
lung microvascular endothelial cell,0.7378647873726218,0.9647988
vein endothelial cell,0.7378647873726218,0.9763316
Penis_Foreskin_Melanocyte_Primary_Cells_skin03,0.632455532033676,0.44436175
osteoblast,0.632455532033676,0.3108571
skeletal muscle satellite cell,0.632455532033676,0.27423322
Brain_Frontal_Cortex_BA9,0.6000000000000001,0.98162293
Brain_Cortex,0.6000000000000001,0.9798542
liver,0.4472135954999579,0.105152845
Pancreas,0.39999999999999997,0.5390205
Whole_Blood,0.39999999999999997,0.6840684
SJCRH30,0.2581988897471611,0.4997313
A172,0.2581988897471611,0.49946213
human nasal epithelial cells,0.2581988897471611,0.4999693
HEPG2,0.2581988897471611,0.50030136
endothelial cell of umbilical vein,0.2581988897471611,0.5009817
endothelial cell of coronary artery,0.2581988897471611,0.49849963
K562,0.2581988897471611,0.49789098
LHCN-M2,0.2581988897471611,0.5001187
HUVEC,0.2581988897471611,0.500999
K562.1,0.2581988897471611,0.500192
NCI-H460,0.2581988897471611,0.49851772
HT1080,0.2581988897471611,0.50108784
epithelial cell of umbilical artery,0.2581988897471611,0.4972189
CD8_Naive_Primary_Cells,0.2581988897471611,0.5005192
CD4_Naive_Primary_Cells,0.2581988897471611,0.5020697
bladder microvascular endothelial cell,0.2581988897471611,0.49831444
Breast_vHMEC,0.2581988897471611,0.50133884
glomerular endothelial cell,0.2581988897471611,0.49911267
mesangial cell,0.2581988897471611,0.50057805
A549,0.2581988897471611,0.50158334
HELA,0.21081851067789195,0.079746485
H4,0.10540925533894598,0.109071
bronchial epithelial cell,0.10540925533894598,0.0025339574
Fetal_Intestine_Small,0.10540925533894598,0.062144965
dermis lymphatic vessel endothelial cell,0.10540925533894598,0.10445568
Penis_Foreskin_Melanocyte_Primary_Cells_skin01,0.0,-0.018632725
H1_Derived_Mesenchymal_Stem_Cells,0.0,-0.020151854
renal cortical epithelial cell,-0.10540925533894598,-0.1434942
tracheal epithelial cell,-0.2581988897471611,-0.52311623
Aorta,-0.316227766016838,-0.0040118545
