gene_id,tissue,logFC
FAM87B,Testis,0.0040270234
FAM87B,Thyroid,-0.004042521
FAM87B,Uterus,-0.00843949
FAM87B,Vagina,0.0121479565
FAM87B,Whole_Blood,-0.00074917893
FAM87B,cardiac ventricle fibroblast,0.009655913
FAM87B,hair follicular keratinocyte,-0.0012737497
FAM87B,airway epithelial cell,0.00018658911
FAM87B,epithelial cell of proximal tubule,0.0033909492
FAM87B,pericardium fibroblast,-0.010258519
FAM87B,mesangial cell,-0.009172036
FAM87B,bronchial fibroblast,-0.0014254082
FAM87B,glomerular endothelial cell,0.0009847805
FAM87B,kidney epithelial cell,-0.0021825621
FAM87B,mammary microvascular endothelial cell,0.00088028255
FAM87B,epithelial cell of alveolus of lung,0.020377072
FAM87B,myometrial cell,0.011566296
FAM87B,cardiac atrium fibroblast,0.016621286
FAM87B,endometrial microvascular endothelial cell,0.003929778
FAM87B,smooth muscle cell,0.0021674163
FAM87B,hepatocyte,0.0017399307
FAM87B,neural progenitor cell,0.0011724451
FAM87B,HT1080,0.0018433358
FAM87B,SK-N-DZ,-0.0021357127
FAM87B,SK-MEL-5,-0.0074629365
FAM87B,NCI-H460,0.0066969153
FAM87B,astrocyte,0.0027116803
FAM87B,LHCN-M2,-0.0006350137
FAM87B,K562,0.0016753417
FAM87B,HepG2,-0.009108863
FAM87B,MCF-7,-0.0006774267
FAM87B,bipolar spindle neuron,0.0037388694
FAM87B,skeletal muscle myoblast,-0.0019690827
FAM87B,myotube,-0.0012526633
FAM87B,H7-hESC,-0.003182004
FAM87B,RPMI-7951,0.00082407746
FAM87B,M059J,0.00038518972
FAM87B,H4,0.00068914186
FAM87B,MG63,0.0009782496
FAM87B,G401,-0.0018648087
FAM87B,Caki2,0.0014904913
FAM87B,SJSA1,-0.0074091735
FAM87B,Daoy,0.009899675
FAM87B,A172,-0.0041555767
FAM87B,induced pluripotent stem cell,0.0010810219
FAM87B,fibroblast of arm,0.06768267
FAM87B,A375,-0.011009146
FAM87B,HT-29,0.001735121
FAM87B,PC-3,0.008405881
FAM87B,Karpas-422,-0.003370322
FAM87B,Oci-Ly-7,-0.008087149
FAM87B,SJCRH30,0.009107085
FAM87B,neural cell,-0.002635977
FAM87B,umbilical cord,0.0006196924
FAM87B,pericyte cell,-0.0010345886
FAM87B,melanocyte of skin,0.002854494
FAM87B,placental epithelial cell,0.0011965029
FAM87B,hair follicle dermal papilla cell,9.544721e-05
FAM87B,hematopoietic multipotent progenitor cell,-0.00032491182
FAM87B,vein endothelial cell,0.000169221
FAM87B,osteoblast,-0.042691212
FAM87B,articular chondrocyte of knee joint,-0.0065913065
FAM87B,thoracic aorta endothelial cell,0.0014004627
FAM87B,fibroblast of the aortic adventitia,0.0018508934
FAM87B,skeletal muscle satellite cell,-0.005279023
FAM87B,fibroblast of dermis,-0.0016503432
FAM87B,mammary epithelial cell,0.007839473
FAM87B,subcutaneous preadipocyte,0.03123105
FAM87B,fibroblast of villous mesenchyme,-0.0002799289
FAM87B,endothelial cell of umbilical vein,0.0029401411
FAM87B,fibroblast of lung,0.00014136282
FAM87B,keratinocyte,-0.0018366534
FAM87B,stomach,-0.006609966
FAM87B,dermis microvascular lymphatic vessel endothelial cell,-0.0029489025
FAM87B,tongue,0.009090679
FAM87B,lung microvascular endothelial cell,0.00070358143
FAM87B,liver,-0.0074197184
FAM87B,smooth muscle cell of the coronary artery,-0.0007730111
FAM87B,aortic smooth muscle cell,0.00022631141
FAM87B,cerebellum,-0.00040860265
FAM87B,occipital lobe,-0.00018747327
FAM87B,lung,0.004373933
FAM87B,metanephros,0.0022637504
FAM87B,bronchial smooth muscle cell,-0.0057259877
FAM87B,spinal cord,-0.26634246
FAM87B,parietal lobe,0.0009828899
FAM87B,diencephalon,-0.028925564
FAM87B,bronchial epithelial cell,0.0009316731
FAM87B,human nasal epithelial cells,-0.0014557074
FAM87B,pulmonary artery endothelial cell,0.002861188
FAM87B,regular cardiac myocyte,0.028773803
FAM87B,endothelial cell of coronary artery,0.002467731
FAM87B,skeletal muscle tissue,0.0020058146
FAM87B,skin of body,0.019935612
FAM87B,frontal cortex,0.0001542602
FAM87B,camera-type eye,0.002381369
FAM87B,dermis lymphatic vessel endothelial cell,0.0010856618
FAM87B,smooth muscle cell of the umbilical artery,0.01289422
FAM87B,tracheal epithelial cell,-0.00082566694
FAM87B,smooth muscle cell of trachea,0.0021962656
FAM87B,renal cortical epithelial cell,-0.04208284
FAM87B,dermis blood vessel endothelial cell,0.0025504827
FAM87B,heart,-0.0050870036
FAM87B,thyroid gland,0.00076168205
FAM87B,urinary bladder,-0.0006819864
FAM87B,temporal lobe,-0.0004885995
FAM87B,uterine smooth muscle cell,-0.003216132
FAM87B,epithelial cell of umbilical artery,-0.00027365034
FAM87B,smooth muscle cell of the pulmonary artery,0.0118218465
FAM87B,smooth muscle cell of bladder,0.0013695356
FAM87B,bladder microvascular endothelial cell,-0.0024005522
FAM87B,uterus,0.00230788
FAM87B,GM12878,0.00090915774
FAM87B,Universal_Human_Reference,-0.0055999462
FAM87B,H1_Cell_Line,-0.009754999
FAM87B,H1_BMP4_Derived_Mesendoderm_Cultured_Cells,0.0038090264
FAM87B,H1_BMP4_Derived_Trophoblast_Cultured_Cells,0.0014540682
FAM87B,H1_Derived_Mesenchymal_Stem_Cells,-0.003697287
FAM87B,H1_Derived_Neuronal_Progenitor_Cultured_Cells,0.0002601863
FAM87B,hESC_Derived_CD184+_Endoderm_Cultured_Cells,0.000865501
FAM87B,hESC_Derived_CD56+_Ectoderm_Cultured_Cells,0.0024043766
FAM87B,hESC_Derived_CD56+_Mesoderm_Cultured_Cells,0.003107473
FAM87B,HUES64_Cell_Line,0.0032699811
FAM87B,4star,-0.0036259915
FAM87B,Breast_Myoepithelial_Cells,0.0018883371
FAM87B,Breast_vHMEC,-0.029182557
FAM87B,CD4_Memory_Primary_Cells,-0.024785345
FAM87B,CD4_Naive_Primary_Cells,0.00094318844
FAM87B,CD8_Naive_Primary_Cells,-0.0052078217
FAM87B,Mobilized_CD34_Primary_Cells_Female,-0.005704663
FAM87B,Neurosphere_Cultured_Cells_Cortex_Derived,-0.0001950415
FAM87B,Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived,-0.0002005457
FAM87B,Penis_Foreskin_Fibroblast_Primary_Cells_skin01,-0.0004962553
FAM87B,Penis_Foreskin_Fibroblast_Primary_Cells_skin02,0.0018414464
FAM87B,Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,-0.032888368
FAM87B,Penis_Foreskin_Keratinocyte_Primary_Cells_skin03,-0.0015186319
FAM87B,Penis_Foreskin_Melanocyte_Primary_Cells_skin01,-0.0015729506
FAM87B,Penis_Foreskin_Melanocyte_Primary_Cells_skin03,-0.001067117
FAM87B,Peripheral_Blood_Mononuclear_Primary_Cells,0.004296773
FAM87B,Aorta,0.004995349
FAM87B,Adult_Liver,0.057859387
FAM87B,Brain_Germinal_Matrix,-0.008658687
FAM87B,Brain_Hippocampus_Middle,0.003955162
FAM87B,Esophagus,-0.010323907
FAM87B,Fetal_Brain_Female,0.007299536
FAM87B,Fetal_Intestine_Large,0.0010622896
FAM87B,Fetal_Intestine_Small,-0.03815804
FAM87B,Pancreatic_Islets,0.0002949201
FAM87B,Gastric,0.005098178
FAM87B,Left_Ventricle,-0.0035602166
FAM87B,Lung.1,-0.0024624842
FAM87B,Ovary.1,-0.010162824
FAM87B,Pancreas.1,-0.0015676994
FAM87B,Psoas_Muscle,-0.025530092
FAM87B,Right_Atrium,-0.0063379616
FAM87B,Right_Ventricle,0.0064308676
FAM87B,Sigmoid_Colon,-0.002422086
FAM87B,Small_Intestine,-0.0030443792
FAM87B,Thymus,0.0011274216
FAM87B,Spleen.1,0.025589233
FAM87B,A549,-0.008201646
FAM87B,GM12878.1,0.00183595
FAM87B,HELA,-0.0039132643
FAM87B,HEPG2,0.0021947203
FAM87B,HMEC,-0.0013227228
FAM87B,HSMM,-0.00040645225
FAM87B,HUVEC,0.0014910068
FAM87B,K562.1,-0.0039327512
FAM87B,NHEK,-0.00442993
FAM87B,NHLF,0.00014411427
TONSL,Adipose_Subcutaneous,-0.0048994105
TONSL,Adipose_Visceral_Omentum,-0.0022104657
TONSL,Adrenal_Gland,-0.00051999727
TONSL,Artery_Aorta,0.0048280642
TONSL,Artery_Coronary,0.0034650695
TONSL,Artery_Tibial,-0.051612716
TONSL,Bladder,0.024187712
TONSL,Brain_Amygdala,-0.0007251751
TONSL,Brain_Anterior_cingulate_cortex_BA24,0.00013087287
TONSL,Brain_Caudate_basal_ganglia,-0.0016508597
TONSL,Brain_Cerebellar_Hemisphere,0.0036743698
TONSL,Brain_Cerebellum,-0.011971282
TONSL,Brain_Cortex,0.02616814
TONSL,Brain_Frontal_Cortex_BA9,-0.0012563642
TONSL,Brain_Hippocampus,0.0008209835
TONSL,Brain_Hypothalamus,-0.00027485445
TONSL,Brain_Nucleus_accumbens_basal_ganglia,-0.025005465
TONSL,Brain_Putamen_basal_ganglia,0.0014387771
TONSL,Brain_Spinal_cord_cervical_c1,0.00046754506
TONSL,Brain_Substantia_nigra,-0.008198965
TONSL,Breast_Mammary_Tissue,-0.0066826185
TONSL,Cells_EBV-transformed_lymphocytes,0.0006812344
TONSL,Cells_Transformed_fibroblasts,-0.0020098127
TONSL,Cervix_Ectocervix,0.00977908
TONSL,Cervix_Endocervix,0.006041637
TONSL,Colon_Sigmoid,-0.0070493934
TONSL,Colon_Transverse,0.0014372309
TONSL,Esophagus_Gastroesophageal_Junction,-0.003918869
TONSL,Esophagus_Mucosa,0.023802737
TONSL,Esophagus_Muscularis,-0.00089871726
TONSL,Fallopian_Tube,-0.0025344975
TONSL,Heart_Atrial_Appendage,-0.0019105299
TONSL,Heart_Left_Ventricle,0.024907997
TONSL,Kidney_Cortex,0.0027739913
TONSL,Liver,0.0035060742
TONSL,Lung,0.0054220427
TONSL,Minor_Salivary_Gland,0.0013465115
TONSL,Muscle_Skeletal,0.0003410013
TONSL,Nerve_Tibial,0.003525804
TONSL,Ovary,-0.015139247
TONSL,Pancreas,0.0050297976
TONSL,Pituitary,0.00047803257
TONSL,Prostate,-0.0006273571
TONSL,Skin_Not_Sun_Exposed_Suprapubic,0.00010198211
TONSL,Skin_Sun_Exposed_Lower_leg,-0.011730341
TONSL,Small_Intestine_Terminal_Ileum,0.0037078208
TONSL,Spleen,-0.00045324548
TONSL,Stomach,0.017776059
TONSL,Testis,0.025422629
TONSL,Thyroid,0.010481836
TONSL,Uterus,-0.0030816062
TONSL,Vagina,-0.008833532
TONSL,Whole_Blood,0.0022680433
TONSL,cardiac ventricle fibroblast,0.0018594814
TONSL,hair follicular keratinocyte,-0.00037849747
TONSL,airway epithelial cell,-0.0014159399
TONSL,epithelial cell of proximal tubule,-0.0033398103
TONSL,pericardium fibroblast,-0.0009236705
TONSL,mesangial cell,0.0029090752
TONSL,bronchial fibroblast,0.0003219156
TONSL,glomerular endothelial cell,0.002988369
TONSL,kidney epithelial cell,-0.0011102312
TONSL,mammary microvascular endothelial cell,-0.00048730915
TONSL,epithelial cell of alveolus of lung,-0.0012631634
TONSL,myometrial cell,-0.013786351
TONSL,cardiac atrium fibroblast,-0.0010013725
TONSL,endometrial microvascular endothelial cell,0.0057674176
TONSL,smooth muscle cell,-0.009256934
TONSL,hepatocyte,0.0021746287
TONSL,neural progenitor cell,-0.00047715878
TONSL,HT1080,0.004924221
TONSL,SK-N-DZ,-0.0027266943
TONSL,SK-MEL-5,-0.008576333
TONSL,NCI-H460,0.0001742079
TONSL,astrocyte,-0.0023589497
TONSL,LHCN-M2,-0.00046279354
TONSL,K562,0.0023787937
TONSL,HepG2,-0.0045053195
TONSL,MCF-7,-0.0028921196
TONSL,bipolar spindle neuron,0.0021098875
TONSL,skeletal muscle myoblast,-0.00042055888
TONSL,myotube,-0.005326924
TONSL,H7-hESC,-0.0015561641
TONSL,RPMI-7951,0.00041235547
TONSL,M059J,0.0033708743
TONSL,H4,0.0029440888
TONSL,MG63,0.00039636556
TONSL,G401,0.0043382687
TONSL,Caki2,-0.001165395
TONSL,SJSA1,-0.008837166
TONSL,Daoy,0.0035047017
TONSL,A172,0.00035510046
TONSL,induced pluripotent stem cell,0.005374581
TONSL,fibroblast of arm,-0.0013951957
TONSL,A375,-0.0026369246
TONSL,HT-29,0.0013657555
TONSL,PC-3,0.002388752
TONSL,Karpas-422,0.0021880232
TONSL,Oci-Ly-7,0.01335539
TONSL,SJCRH30,0.010671172
TONSL,neural cell,-0.003161493
TONSL,umbilical cord,-0.0002311632
TONSL,pericyte cell,-0.0014400412
TONSL,melanocyte of skin,0.0008469379
TONSL,placental epithelial cell,0.00075343123
TONSL,hair follicle dermal papilla cell,0.0020523563
TONSL,hematopoietic multipotent progenitor cell,-0.0032005329
TONSL,vein endothelial cell,-0.0028287042
TONSL,osteoblast,0.0045690434
TONSL,articular chondrocyte of knee joint,0.001211453
TONSL,thoracic aorta endothelial cell,-0.00087832473
TONSL,fibroblast of the aortic adventitia,0.002854494
TONSL,skeletal muscle satellite cell,0.002494686
TONSL,fibroblast of dermis,0.0051249126
TONSL,mammary epithelial cell,0.0099767065
TONSL,subcutaneous preadipocyte,0.021443954
TONSL,fibroblast of villous mesenchyme,-0.00035458582
TONSL,endothelial cell of umbilical vein,-0.0038451483
TONSL,fibroblast of lung,0.0048626885
TONSL,keratinocyte,-0.00014662265
TONSL,stomach,0.0033658985
TONSL,dermis microvascular lymphatic vessel endothelial cell,-0.0022497384
TONSL,tongue,0.0005399245
TONSL,lung microvascular endothelial cell,-0.0014534694
TONSL,liver,-0.002853174
TONSL,smooth muscle cell of the coronary artery,0.003374306
TONSL,aortic smooth muscle cell,-0.005744118
TONSL,cerebellum,0.004163362
TONSL,occipital lobe,-0.0003913136
TONSL,lung,7.9281825e-05
TONSL,metanephros,-0.005043684
TONSL,bronchial smooth muscle cell,-0.0040392443
TONSL,spinal cord,-0.22531165
TONSL,parietal lobe,0.0063024485
TONSL,diencephalon,-0.019822149
TONSL,bronchial epithelial cell,0.0031266937
TONSL,human nasal epithelial cells,0.011440722
TONSL,pulmonary artery endothelial cell,0.0023667747
TONSL,regular cardiac myocyte,-0.0010296835
TONSL,endothelial cell of coronary artery,-0.0008160304
TONSL,skeletal muscle tissue,0.0027758796
TONSL,skin of body,-0.0016787531
TONSL,frontal cortex,-0.0033376554
TONSL,camera-type eye,0.003120859
TONSL,dermis lymphatic vessel endothelial cell,0.004397423
TONSL,smooth muscle cell of the umbilical artery,0.008467092
TONSL,tracheal epithelial cell,-0.0014720623
TONSL,smooth muscle cell of trachea,-0.0021389853
TONSL,renal cortical epithelial cell,0.67605466
TONSL,dermis blood vessel endothelial cell,0.025349967
